feature,mean_abs_shap
Q21_SIGNATURE_coverage__DISCUSSED|status__DISCUSSED,0.0006661254573229828
ISIC_SECTION_O,0.0006587440314899369
q46_vuln_coverage__NOT_MENTIONED,0.0005586269432929973
N_PRINCIPLES_DISCUSSED_BIN_3-4,0.0005384619702802833
DECISION_YEAR_BUCKET_nan,0.0004812877639857533
N_CORRECTIVE_MEASURES_BIN_3-4,0.0004474569841518748
"ORGANIZATION_SIZE_TIER_SME, LARGE_ENTERPRISE, MULTINATIONAL, NON_PROFIT, PUBLIC_SECTOR_BODY, NOT_APPLICABLE, NOT_MENTIONED, UNCLEAR",0.0004245670174944634
ISIC_SECTION_Q,0.00036329315575264987
Q46_SIGNATURE_CHILDREN|coverage__DISCUSSED|status__DISCUSSED,0.00030462138722515335
Q46_SIGNATURE_CHILDREN|EMPLOYEES|coverage__DISCUSSED|status__DISCUSSED,0.0003036674496854123
q25_sensitive_data_coverage__DISCUSSED,0.0002606227397463057
"ORGANIZATION_SIZE_TIER_MULTINATIONAL,NOT_MENTIONED",0.00023297160428155934
q21_breach_types_TECHNICAL_FAILURE,7.207839117035478e-05
q46_vuln_status__DISCUSSED,2.9220840126626814e-05
q21_breach_types_status__NOT_APPLICABLE,2.6323521482049788e-05
Q21_SIGNATURE_NOT_APPLICABLE|status__NOT_APPLICABLE,1.7862754383130939e-06
q21_breach_types_coverage__DISCUSSED,0.0
ISIC_SECTION_S,0.0
q21_breach_types_status__DISCUSSED,0.0
q21_breach_types_SYSTEM_MALFUNCTION,0.0
q21_breach_types_status__MISSING,0.0
q21_breach_types_status__NOT_DISCUSSED,0.0
ISIC_SECTION_R,0.0
q21_breach_types_UNCLEAR,0.0
"ORGANIZATION_SIZE_TIER_SME,LARGE_ENTERPRISE,UNCLEAR",0.0
q21_breach_types_NOT_APPLICABLE,0.0
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE,PUBLIC_SECTOR_BODY",0.0
ORGANIZATION_SIZE_TIER_NON_PROFIT,0.0
"ORGANIZATION_SIZE_TIER_MULTINATIONAL,NOT_APPLICABLE",0.0
"ORGANIZATION_SIZE_TIER_MULTINATIONAL,LARGE_ENTERPRISE",0.0
"ORGANIZATION_SIZE_TIER_MULTINATIONAL, LARGE_ENTERPRISE",0.0
Q47_SIGNATURE_POLICY_CHANGES|STAFF_TRAINING|coverage__DISCUSSED|status__DISCUSSED,0.0
ORGANIZATION_SIZE_TIER_MULTINATIONAL,0.0
Q47_SIGNATURE_POLICY_CHANGES|coverage__DISCUSSED|status__DISCUSSED,0.0
Q47_SIGNATURE_STAFF_TRAINING|SYSTEM_UPGRADES|coverage__DISCUSSED|status__DISCUSSED,0.0
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE,NOT_MENTIONED",0.0
q21_breach_types_CYBER_ATTACK,0.0
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, NOT_MENTIONED",0.0
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, NOT_APPLICABLE, NOT_MENTIONED, UNCLEAR",0.0
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, NOT_APPLICABLE",0.0
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, MULTINATIONAL, NOT_MENTIONED",0.0
"ORGANIZATION_SIZE_TIER_LARGE_ENTERPRISE, MULTINATIONAL, NOT_APPLICABLE",0.0
"ORGANIZATION_SIZE_TIER_BANKING_SECTOR, NOT_MENTIONED",0.0
N_PRINCIPLES_VIOLATED_BIN_5+,0.0
q21_breach_types_status__UNCLEAR,0.0
N_PRINCIPLES_VIOLATED_BIN_1-2,0.0
ISIC_SECTION_L,0.0
q25_sensitive_data_ARTICLE_10_CRIMINAL,0.0
q46_vuln_status__NOT_DISCUSSED,0.0
q46_vuln_status__UNCLEAR,0.0
q47_remedial_COMPENSATION_TO_SUBJECTS,0.0
q47_remedial_DPO_APPOINTMENT,0.0
q47_remedial_EXTERNAL_AUDIT,0.0
CASE_ORIGIN_PRIOR_CONSULTATION_REQUEST,0.0
q47_remedial_NONE_MENTIONED,0.0
CASE_ORIGIN_PRIOR_CONSULTATION,0.0
CASE_ORIGIN_MEDIA_PUBLIC_ATTENTION,0.0
CASE_ORIGIN_FOLLOW_UP_PRIOR_CASE,0.0
"CASE_ORIGIN_COMPLAINT,EX_OFFICIO_DPA_INITIATIVE",0.0
"CASE_ORIGIN_COMPLAINT,BREACH_NOTIFICATION",0.0
"CASE_ORIGIN_COMPLAINT, BREACH_NOTIFICATION",0.0
q47_remedial_status__MISSING,0.0
q47_remedial_status__NOT_DISCUSSED,0.0
q47_remedial_status__NOT_MENTIONED,0.0
q46_vuln_status__NOT_MENTIONED,0.0
q46_vuln_status__NOT_APPLICABLE,0.0
ISIC_SECTION_N,0.0
q46_vuln_status__MISSING,0.0
ISIC_SECTION_M,0.0
Q47_SIGNATURE_IMMEDIATE_CESSATION|POLICY_CHANGES|coverage__DISCUSSED|status__DISCUSSED,0.0
ISIC_SECTION_E,0.0
ISIC_SECTION_C,0.0
q25_sensitive_data_status__MISSING,0.0
ISIC_SECTION_A,0.0
q25_sensitive_data_status__NOT_DISCUSSED,0.0
q25_sensitive_data_status__UNCLEAR,0.0
q46_vuln_ELDERLY,0.0
q46_vuln_EMPLOYEES,0.0
CASE_ORIGIN_UNCLEAR,0.0
q46_vuln_NONE_MENTIONED,0.0
q46_vuln_NOT_DISCUSSED,0.0
q46_vuln_PATIENTS,0.0
q46_vuln_coverage__DISCUSSED,0.0
Q47_SIGNATURE_IMMEDIATE_CESSATION|STAFF_TRAINING|SYSTEM_UPGRADES|coverage__DISCUSSED|status__DISCUSSED,0.0
Q47_SIGNATURE_EXTERNAL_AUDIT|POLICY_CHANGES|STAFF_TRAINING|coverage__DISCUSSED|status__DISCUSSED,0.0
Q47_SIGNATURE_IMMEDIATE_CESSATION|POLICY_CHANGES|SYSTEM_UPGRADES|coverage__DISCUSSED|status__DISCUSSED,0.0
"ORGANIZATION_SIZE_TIER_SME,LARGE_ENTERPRISE,MULTINATIONAL,NOT_MENTIONED",0.0
"ORGANIZATION_SIZE_TIER_SME, NOT_MENTIONED",0.0
