source,target,edge_type,decision_date,fine_amount
Spanish Agency for Data Protection,Spain_270,decided_by,,0.0
Spanish Agency for Data Protection,Spain_268,decided_by,,1500000.0
Spanish Agency for Data Protection,Spain_272,decided_by,,0.0
Spanish Agency for Data Protection,Spain_271,decided_by,,500.0
Spanish Agency for Data Protection,Spain_273,decided_by,,0.0
Spanish Agency for Data Protection,Spain_274,decided_by,,0.0
Spanish Agency for Data Protection,Spain_275,decided_by,2021-10-04 00:00:00+00:00,16000.0
Spanish Agency for Data Protection,Spain_276,decided_by,,1500.0
Spanish Agency for Data Protection,Spain_278,decided_by,,0.0
Spanish Agency for Data Protection,Spain_280,decided_by,,0.0
Spanish Agency for Data Protection,Spain_279,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_282,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_283,decided_by,,8150000.0
Spanish Agency for Data Protection,Spain_285,decided_by,,1000.0
Spanish Agency for Data Protection,Spain_290,decided_by,,18000.0
Spanish Agency for Data Protection,Spain_291,decided_by,,0.0
Spanish Agency for Data Protection,Spain_294,decided_by,,0.0
Spanish Agency for Data Protection,Spain_293,decided_by,2021-03-30 00:00:00+00:00,5000000.0
Spanish Agency for Data Protection,Spain_298,decided_by,,0.0
Spanish Agency for Data Protection,Spain_299,decided_by,,30000.0
Spanish Agency for Data Protection,Spain_303,decided_by,,90000.0
Spanish Agency for Data Protection,Spain_305,decided_by,,0.0
Spanish Agency for Data Protection,Spain_311,decided_by,,35000.0
Spanish Agency for Data Protection,Spain_313,decided_by,,0.0
Spanish Agency for Data Protection,Spain_314,decided_by,,24000.0
Spanish Agency for Data Protection,Spain_315,decided_by,,4000.0
Spanish Agency for Data Protection,Spain_320,decided_by,,0.0
Spanish Agency for Data Protection,Spain_318,decided_by,2021-09-27 00:00:00+00:00,40000.0
Spanish Agency for Data Protection,Spain_317,decided_by,,0.0
Spanish Agency for Data Protection,Spain_319,decided_by,,0.0
Spanish Agency for Data Protection,Spain_321,decided_by,,55000.0
Spanish Agency for Data Protection,Spain_325,decided_by,,0.0
Spanish Agency for Data Protection,Spain_322,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_327,decided_by,,0.0
Spanish Agency for Data Protection,Spain_324,decided_by,,9000.0
Spanish Agency for Data Protection,Spain_326,decided_by,,2520000.0
Spanish Agency for Data Protection,Spain_328,decided_by,,6000.0
Spanish Agency for Data Protection,Spain_329,decided_by,,0.0
Spanish Agency for Data Protection,Spain_330,decided_by,,0.0
Spanish Agency for Data Protection,Spain_331,decided_by,,0.0
Spanish Agency for Data Protection,Spain_333,decided_by,,0.0
Spanish Agency for Data Protection,Spain_336,decided_by,,0.0
Spanish Agency for Data Protection,Spain_341,decided_by,,20000.0
Spanish Agency for Data Protection,Spain_338,decided_by,,45000.0
Spanish Agency for Data Protection,Spain_342,decided_by,,25000.0
Spanish Agency for Data Protection,Spain_343,decided_by,,5000.0
Spanish Agency for Data Protection,Spain_344,decided_by,,0.0
Spanish Agency for Data Protection,Spain_345,decided_by,,0.0
Spanish Agency for Data Protection,Spain_346,decided_by,,600.0
Spanish Agency for Data Protection,Spain_347,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_350,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_348,decided_by,,4200.0
Spanish Agency for Data Protection,Spain_351,decided_by,,15000.0
Spanish Agency for Data Protection,Spain_352,decided_by,,45000.0
Spanish Agency for Data Protection,Spain_353,decided_by,2020-11-13 00:00:00+00:00,0.0
Spanish Agency for Data Protection,Spain_354,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_357,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_356,decided_by,,1200.0
Spanish Agency for Data Protection,Spain_358,decided_by,,20000.0
Spanish Agency for Data Protection,Spain_359,decided_by,,600000.0
Spanish Agency for Data Protection,Spain_362,decided_by,,75000.0
Spanish Agency for Data Protection,Spain_361,decided_by,,45000.0
Spanish Agency for Data Protection,Spain_364,decided_by,,3000.0
Spanish Agency for Data Protection,Spain_363,decided_by,,25000.0
Spanish Agency for Data Protection,Spain_366,decided_by,,0.0
Spanish Agency for Data Protection,Spain_370,decided_by,,2000.0
Spanish Agency for Data Protection,Spain_369,decided_by,,96000.0
Spanish Agency for Data Protection,Spain_371,decided_by,,56000.0
Spanish Agency for Data Protection,Spain_372,decided_by,,0.0
Spanish Agency for Data Protection,Spain_373,decided_by,,1600.0
Spanish Agency for Data Protection,Spain_374,decided_by,,0.0
Spanish Agency for Data Protection,Spain_376,decided_by,,40000.0
Spanish Agency for Data Protection,Spain_378,decided_by,,200000.0
Spanish Agency for Data Protection,Spain_377,decided_by,,1600.0
