source_id,target_id,distance,weight,match_rank,match_type,stratum_key,source_country,target_country
Ireland_18,Spain_572,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_15,United Kingdom_10,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_15,United Kingdom_7,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_15,Spain_447,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_17,Ireland_10,0.048611111111111105,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_17,Ireland_24,0.09027777777777779,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_17,Ireland_29,0.19444444444444445,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_8,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_8,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_8,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_9,United Kingdom_38,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_9,United Kingdom_58,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_9,Sweden_8,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,,
Ireland_20,Ireland_41,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_20,Ireland_22,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_20,Ireland_28,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_22,Ireland_41,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_22,Ireland_20,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_22,Ireland_28,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_24,Ireland_10,0.08333333333333333,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_24,Ireland_17,0.09027777777777779,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_24,Ireland_29,0.22916666666666666,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_23,United Kingdom_10,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_23,United Kingdom_7,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_23,Spain_447,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_26,United Kingdom_36,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_26,United Kingdom_63,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_26,Spain_572,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_28,Ireland_41,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_28,Ireland_20,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_28,Ireland_22,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_29,Ireland_34,0.16666666666666666,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_29,Ireland_10,0.1875,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_29,Ireland_17,0.19444444444444445,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,IE,IE
Ireland_33,United Kingdom_36,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_33,United Kingdom_63,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_33,Spain_572,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_36,United Kingdom_36,0.0,0.3333333333333333,1,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_36,United Kingdom_63,0.0,0.3333333333333333,2,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
Ireland_36,Spain_572,0.0,0.3333333333333333,3,within,0|NA|NA|NA|NA|nan|NA,UNCLEAR,UNCLEAR
