feature,coef,std_err,p_value,conf_low,conf_high
q28_mitigations_count,-0.27367511921477317,0.14021292374027677,0.050955572170496954,-0.5484873999127768,0.0011371614832304533
q41_aggrav_count,0.4639398950381548,0.11282385996988642,3.9212306412354464e-05,0.2428091929003871,0.6850705971759226
q42_mitig_count,-0.02066436272987975,0.09990322447688212,0.8361318471646819,-0.2164710846439891,0.17514235918422957
q46_vuln_count,0.06496982691353388,0.09702462688074233,0.5030987714379328,-0.12519494738615788,0.2551346012132257
q47_remedial_count,0.04676897927171881,0.07835641213928166,0.5505908755756549,-0.10680676647905032,0.20034472502248793
country_group_EU,1.1293215359336097,0.18631714365023097,1.350372812651385e-09,0.7641466446767814,1.494496427190438
country_group_EU_INSTITUTION,-2.4336754233424536,7.054600347907185,0.7301116022889833,-16.26043803056427,11.393087183879363
country_group_NON_EEA,-0.13999726218412736,0.2955958115728188,0.6357777297632046,-0.7193544068477402,0.43935988247948554
country_group_UNKNOWN,-10.364467903936527,80.83251485480204,0.8979736702986292,-168.79328579914744,148.0643499912744
isic_section_C,1.6175324150459203,2.2212243308203603,0.4664810099040645,-2.7359872749460683,5.971052105037908
isic_section_D,0.5964483602400773,2.178351614976067,0.7842327888158871,-3.673042350777677,4.865939071257832
isic_section_E,0.9645041528880852,2.2660399770516246,0.670374402691433,-3.4768525896610694,5.40586089543724
isic_section_F,-0.28936862505384864,2.5381850952670817,0.9092329449867799,-5.264119997873695,4.685382747765998
isic_section_G,0.7088338294846688,2.157771534026942,0.7425315840359781,-3.520320664073881,4.937988323043219
isic_section_H,0.8329589992097612,2.1591517256475585,0.6996591123808937,-3.398900620216961,5.064818618636483
isic_section_I,1.2454039362237548,2.2001328818418533,0.571354008027076,-3.0667772733885954,5.557585145836105
isic_section_J,0.194401732826681,2.1391805911474933,0.9275905419898514,-3.9983151822495078,4.38711864790287
isic_section_K,0.532677866955006,2.1423450183123274,0.8036373861108645,-3.666241211395958,4.73159694530597
isic_section_L,2.7182048041873177,2.2588972429440357,0.22884761937189557,-1.7091524367598172,7.145562045134453
isic_section_M,0.9406233502247696,2.1855385750846974,0.6669154948929853,-3.342953543764226,5.224200244213765
isic_section_N,1.3260946200826367,2.175242131262819,0.542106398110878,-2.9373016148466378,5.589490855011912
isic_section_O,0.005742937055579239,2.13823168512108,0.9978570164622055,-4.1851141563841265,4.1966000304952855
isic_section_P,0.026782829112881632,2.1712797702484363,0.9901583092885214,-4.228847320934457,4.2824129791602195
isic_section_Q,0.561700243895004,2.145220735230135,0.7934463636715827,-3.642855136044596,4.766255623834604
isic_section_R,0.3192770422882487,2.192190118704019,0.8842032579536859,-3.9773366376362143,4.615890722212712
isic_section_S,0.639971770908974,2.1750087905319724,0.7685755063057662,-3.622967124591714,4.902910666409662
isic_section_UNKNOWN,0.386218075795288,2.1359367948462507,0.8565096048126746,-3.800141115357282,4.5725772669478575
0/2,-1.2093260845297595,2.1289795555354853,0.570014014595962,-5.382049337201403,2.9633971681418836
2/3,0.9956178498718842,0.043996137503085946,2.212784783009321e-113,0.9093870049069638,1.0818486948368047
3/4,0.9769163210197019,0.037557862789886674,3.72177405927933e-149,0.903304262615227,1.0505283794241769
