feature,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],target
isic_section_D,25.316002814485646,131010.64313460236,0.0001932362303456185,0.999845819796179,-256750.82613243585,256801.4581380648,power_fine_flag
isic_section_E,23.47006794813081,131010.64312960008,0.00017914626924557146,0.9998570619584081,-256752.6720574979,256799.61219339416,power_fine_flag
isic_section_F,23.47487898725058,131010.64313316609,0.00017918299174662843,0.9998570326580919,-256752.66725344805,256799.61701142252,power_fine_flag
isic_section_G,23.113536427493052,131010.64312753368,0.00017642487568733585,0.9998592333162778,-256753.02858496847,256799.25565782347,power_fine_flag
isic_section_H,23.967037333638586,131010.64312769624,0.00018293962048776362,0.9998540353020678,-256752.17508438093,256800.1091590482,power_fine_flag
isic_section_I,24.210893632650237,131010.64312936028,0.00018480096772553306,0.9998525501618697,-256751.9312313434,256800.35301860867,power_fine_flag
isic_section_J,22.636991690081185,131010.64312700115,0.00017278742512649896,0.9998621355818766,-256753.50512866213,256798.7791120423,power_fine_flag
isic_section_K,23.390700038350353,131010.64312713395,0.00017854045656162302,0.9998575453269876,-256752.75142057418,256799.53282065087,power_fine_flag
isic_section_L,26.01441939462158,131010.64313237922,0.00019856722150684664,0.9998415662807193,-256750.1277114984,256802.15655028768,power_fine_flag
isic_section_M,23.62004068356889,131010.64312839018,0.0001802910062842856,0.9998561485904135,-256752.52208239108,256799.76216375822,power_fine_flag
isic_section_N,24.154240117497856,131010.64312816322,0.00018436853327915192,0.999852895194632,-256751.98788251236,256800.29636274735,power_fine_flag
isic_section_O,22.510484567050284,131010.64312696447,0.0001718218003497244,0.9998629060389662,-256753.63163571327,256798.6526048474,power_fine_flag
isic_section_P,22.95803024591939,131010.64312780315,0.00017523790203459601,0.9998601803842148,-256753.1840916782,256799.10015217002,power_fine_flag
isic_section_Q,23.534749777126194,131010.64312716093,0.0001796399835567787,0.9998566680313881,-256752.60737088826,256799.6768704425,power_fine_flag
isic_section_R,23.493754047329258,131010.64312920334,0.00017932706447490378,0.9998569177046882,-256752.64837062111,256799.63587871575,power_fine_flag
isic_section_S,23.186329026393842,131010.64312812923,0.000176980499238657,0.9998587899928315,-256752.95579353682,256799.3284515896,power_fine_flag
isic_section_UNKNOWN,23.17107486911347,131010.6431268615,0.00017686406475141283,0.9998588828941097,-256752.9710452094,256799.3131949476,power_fine_flag
