feature,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],target
q15_case_initiation_EX_OFFICIO_DPA_INITIATIVE,0.08057785299362515,0.20184228524747147,0.39921195350533994,0.6897370361960304,-0.3150257566486792,0.4761814626359295,power_reprimand_flag
q15_case_initiation_MEDIA_PUBLIC_ATTENTION,1.1061237577186787,0.5522641768522762,2.0028888421175886,0.045189220992647876,0.02370586113655815,2.188541654300799,power_reprimand_flag
q25_sensitive_data_ARTICLE_9_SPECIAL_CATEGORY,-0.05720571676060543,0.22507330240362394,-0.2541648260797206,0.7993682232068509,-0.4983412833532007,0.38392984983198986,power_reprimand_flag
q25_sensitive_data_ARTICLE_10_CRIMINAL,0.7102283023357309,0.8320585373007724,0.8535797308681392,0.3933378931574141,-0.9205764638028603,2.341033068474322,power_reprimand_flag
q28_mitigations_IMMEDIATE_CONTAINMENT,0.18798996885494762,0.37745624884654355,0.49804439436204895,0.6184527518871621,-0.551810684623866,0.9277906223337613,power_reprimand_flag
q28_mitigations_SECURITY_IMPROVEMENTS,-0.21818552905036473,0.43501430393096574,-0.5015594362731335,0.6159774589869165,-1.0707978975148185,0.6344268394140891,power_reprimand_flag
q28_mitigations_COOPERATION_WITH_DPA,-0.22072941554992315,0.4250937198833275,-0.5192488273186092,0.6035872334215758,-1.0538977965754033,0.6124389654755571,power_reprimand_flag
q41_aggrav_PREVIOUS_INFRINGEMENTS,-0.009210049013106847,0.3086984705423849,-0.029835097650223987,0.976198567340862,-0.6142479333587801,0.5958278353325664,power_reprimand_flag
q41_aggrav_INTENT_NEGLIGENCE,-0.8566151093647749,0.2385843039192667,-3.590408485776334,0.00033016013617961313,-1.324231752323096,-0.38899846640645375,power_reprimand_flag
q42_mitig_COOPERATION_WITH_AUTHORITY,-0.023097194607829635,0.20018089413099127,-0.11538161375538492,0.9081426517216726,-0.415444537497598,0.3692501482819387,power_reprimand_flag
q46_vuln_CHILDREN,0.46414287785237435,0.2543607917938269,1.8247422276802279,0.06803993765836251,-0.03439511314261773,0.9626808688473665,power_reprimand_flag
q46_vuln_EMPLOYEES,-0.1444651137004293,0.20627430032611033,-0.7003543993218568,0.48370600673716435,-0.5487553132758043,0.2598250858749457,power_reprimand_flag
q46_vuln_FINANCIALLY_VULNERABLE,0.10761330125283597,0.4198052941029138,0.25634098179441955,0.7976875552178216,-0.7151899557081202,0.9304165582137921,power_reprimand_flag
q21_breach_types_count,0.13270120873995622,0.09894083513687442,1.3412177950224276,0.17984975041479256,-0.06121926472863276,0.3266216822085452,power_reprimand_flag
q25_sensitive_data_count,-0.07013001609499944,0.17731507013275874,-0.39551074842365025,0.6924659908069214,-0.41766116747140036,0.27740113528140153,power_reprimand_flag
q28_mitigations_count,0.18193735563857616,0.1955974274044054,0.9301623137527955,0.3522870510874093,-0.2014265575427462,0.5653012688198985,power_reprimand_flag
q41_aggrav_count,-0.18553577956562534,0.1412025257931656,-1.3139692687749749,0.18885654619623415,-0.46228764464631794,0.09121608551506727,power_reprimand_flag
q42_mitig_count,0.3060462783860684,0.11261894695800133,2.7175380933032645,0.006576958400192722,0.08531719837155913,0.5267753584005777,power_reprimand_flag
q46_vuln_count,-0.04054838778505928,0.1125913414663092,-0.36013770914340343,0.7187441542986268,-0.26122336203007646,0.1801265864599579,power_reprimand_flag
q47_remedial_count,0.33623059854154236,0.09993640570271445,3.364445580940177,0.0007669760784292055,0.14035884261983878,0.5321023544632459,power_reprimand_flag
country_group_EU,-1.312715816031652,0.2367794564587654,-5.544044384865198,2.955638617946293e-08,-1.7767950229698022,-0.848636609093502,power_reprimand_flag
country_group_EU_INSTITUTION,-22.229455245488193,131010.697835518,-0.0001696766417762078,0.9998646176278475,-256798.47880232037,256754.0198918294,power_reprimand_flag
country_group_NON_EEA,-0.6941242411232671,0.39115881459761137,-1.7745330418728236,0.07597502164911049,-1.4607814299699657,0.07253294772343155,power_reprimand_flag
country_group_UNKNOWN,-21.509620562635508,14556.744219372598,-0.0014776395214810322,0.9988210146684146,-28552.204022694554,28509.18478156928,power_reprimand_flag
isic_section_C,-23.489783384586477,131013.0398159172,-0.0001792934765698996,0.9998569445039587,-256804.3293276944,256757.34976092525,power_reprimand_flag
isic_section_D,-22.492398316182513,131013.03981249272,-0.00017168060788738188,0.9998630186942503,-256803.33193591415,256758.34713928177,power_reprimand_flag
