feature,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
isic_section_K,-0.30970351319301326,0.8386429646168675,-0.3692912553490516,0.7119828989017084,-1.955254257334696,1.3358472309486695
isic_section_L,-1.0046852723648705,1.0684988461888016,-0.9402773582287468,0.34728517395930025,-3.1012497767410254,1.0918792320112845
isic_section_M,-0.9977348006819233,1.06561055022038,-0.936303418238099,0.34932591593188633,-3.0886320094619015,1.0931624080980549
isic_section_N,-0.820630340095668,0.9656814245178323,-0.8497940617480669,0.3956275822005013,-2.7154507270348067,1.0741900468434706
isic_section_O,-0.6107992583703208,0.8443356298652838,-0.7234081291438282,0.4695855333752359,-2.2675199162069934,1.0459213994663519
isic_section_P,-1.7414527014908578,0.9803633165726467,-1.7763340101086014,0.07595883202679646,-3.665081293370039,0.1821758903883235
isic_section_Q,-0.5386573710774638,0.8631381889204628,-0.6240685187978636,0.5327141375534288,-2.23227163721997,1.1549568950650424
isic_section_R,-0.3089106977728773,1.0219260413016493,-0.3022828319155181,0.7624945604792892,-2.3140919592527767,1.6962705637070221
isic_section_S,-1.1658171006965277,1.0395023061462496,-1.1215146842901824,0.26231767808369616,-3.205485786401677,0.8738515850086217
isic_section_UNKNOWN,-0.8934755003559185,0.7945588782783679,-1.124492501162256,0.26105354781418866,-2.4525262628131843,0.6655752621013473
