column,covered
q64_transfer_violations_NOT_APPLICABLE,True
q64_transfer_violations_NO_ADEQUATE_SAFEGUARDS,True
q64_transfer_violations_NO_IMPACT_ASSESSMENT,True
q64_transfer_violations_SCHREMS_II_ISSUES,True
q64_transfer_violations_coverage_status,True
q64_transfer_violations_exclusivity_conflict,False
q64_transfer_violations_known,True
q64_transfer_violations_status,True
q64_transfer_violations_unknown,True
q67_lang,True
q67_text,True
q67_tokens,True
q68_lang,True
q68_text,True
q68_tokens,True
raw_q1,True
raw_q10,True
raw_q11,True
raw_q12,True
raw_q13,True
raw_q14,True
raw_q15,True
raw_q16,True
raw_q17,True
raw_q18,True
raw_q19,True
raw_q2,True
raw_q20,True
raw_q21,True
raw_q22,True
raw_q23,True
raw_q24,True
raw_q25,True
raw_q26,True
raw_q27,True
raw_q28,True
raw_q29,True
raw_q3,True
raw_q30,True
raw_q31,True
raw_q32,True
raw_q33,True
raw_q34,True
raw_q35,True
raw_q36,True
raw_q37,True
raw_q38,True
raw_q39,True
raw_q4,True
raw_q40,True
raw_q41,True
raw_q42,True
raw_q43,True
raw_q44,True
raw_q45,True
raw_q46,True
raw_q47,True
raw_q48,True
raw_q49,True
raw_q5,True
raw_q50,True
raw_q51,True
raw_q52,True
raw_q53,True
raw_q54,True
raw_q55,True
raw_q56,True
raw_q57,True
raw_q58,True
raw_q59,True
raw_q6,True
raw_q60,True
raw_q61,True
raw_q62,True
raw_q63,True
raw_q64,True
raw_q65,True
raw_q66,True
raw_q67,True
raw_q68,True
raw_q7,True
raw_q8,True
raw_q9,True
remedy_only_case,True
schema_echo_fields,True
schema_echo_flag,True
severity_measures_present,True
turnover_error,True
turnover_eur,True
turnover_log1p,True
turnover_numeric_valid,True
turnover_outlier_flag,True
turnover_positive,True
turnover_raw,True
turnover_status,True
