feature,source,block,feature_type,observed_share,mean,variance,status_discussed,status_not_mentioned,status_not_discussed
raw_q7_SC_CNTAR_TAROM_SA,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SC_Grupex_2000_SRL,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SC_Nobiotic_Pharma_SRL,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SC_Prestige_Media_PHG_SRL,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SCHOOL_FITNESS_HOLIDAY_FRANCHISING_S_L_U,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SCIENTIFIC_SOCIETY_OF_MEDICAL_ONCOLOGY_FOUNDATION,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SEAN_SERIOS_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SEGURCAIXA_ADESLAS_S_A_OF_INSURANCE_AND_REINSURANCE,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SERVICIOS_LOG_STICOS_MARTORELL_SIGLO_XXI_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SIDECU_S_A,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SOUND_SOUL_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_STATE_AGENCY_OF_TAX_ADMINISTRATION,raw_q7,Other,categorical,1.0,0.005319148936170213,0.00529085559076505,,,
raw_q7_STRING,raw_q7,Other,categorical,1.0,0.07180851063829788,0.06665204843820735,,,
raw_q7_SUDREZIDEN_IAL_Broker_S_R_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_SUPERCOR_S_A,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Saga_Personal_Finance_Limited,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Sahlgrenska_University_Hospital,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Sanatatea_Press_Group_SRL,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Sector_1_of_the_Municipality_of_Bucharest,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_Suministrador_Ib_rico_de_Energ_a_S_L,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
raw_q7_TELEFONICA_MOVILES_ESPA_A_SAU,raw_q7,Other,categorical,1.0,0.0026595744680851063,0.002652501131733817,,,
