node,node_type,country,country_group,total_decisions,total_fines_eur,avg_fine_eur,breach_cases,year,quarter,fine_eur,breach_case,severity_measures,n_principles_violated,cross_border
United Kingdom_59,decision,,,,,,,2022.0,Q1,50000.0,False,True,1.0,False
United Kingdom_56,decision,,,,,,,,,85000.0,False,False,0.0,False
United Kingdom_60,decision,,,,,,,2022.0,Q1,98000.0,True,True,1.0,False
United Kingdom_57,decision,,,,,,,2024.0,Q1,7500.0,True,True,1.0,False
United Kingdom_63,decision,,,,,,,,,0.0,False,False,0.0,False
United Kingdom_62,decision,,,,,,,2021.0,Q3,200000.0,False,True,0.0,False
Sweden_2,decision,,,,,,,2020.0,Q4,4000000.0,False,True,2.0,False
Sweden_3,decision,,,,,,,2020.0,Q4,3500000.0,False,True,2.0,False
Sweden_4,decision,,,,,,,2020.0,Q4,2500000.0,False,True,2.0,False
Sweden_1,decision,,,,,,,2020.0,Q1,75000000.0,False,True,4.0,False
Sweden_5,decision,,,,,,,,,0.0,False,True,1.0,False
Sweden_7,decision,,,,,,,2020.0,Q4,4000000.0,True,True,1.0,False
Sweden_6,decision,,,,,,,,,0.0,False,False,1.0,False
Sweden_9,decision,,,,,,,2020.0,Q4,550000.0,True,True,1.0,False
Sweden_10,decision,,,,,,,,,120000.0,False,True,4.0,False
Sweden_11,decision,,,,,,,,,300000.0,False,False,0.0,False
Sweden_12,decision,,,,,,,2023.0,Q1,0.0,False,True,2.0,False
Sweden_14,decision,,,,,,,2024.0,Q4,200000.0,False,True,2.0,False
Sweden_15,decision,,,,,,,2025.0,Q2,0.0,False,True,1.0,False
Sweden_18,decision,,,,,,,2021.0,Q2,350000.0,False,True,3.0,False
Sweden_13,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_16,decision,,,,,,,2024.0,Q4,0.0,False,True,1.0,False
Sweden_20,decision,,,,,,,2022.0,Q1,7500000.0,False,True,2.0,False
Sweden_21,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_22,decision,,,,,,,2023.0,Q2,58000000.0,False,True,2.0,False
Sweden_23,decision,,,,,,,2022.0,Q1,300000.0,True,True,1.0,False
Sweden_26,decision,,,,,,,2021.0,Q1,0.0,False,True,0.0,False
Sweden_24,decision,,,,,,,2023.0,Q2,13000000.0,False,True,1.0,False
Sweden_27,decision,,,,,,,2021.0,Q1,0.0,False,False,0.0,False
Sweden_30,decision,,,,,,,2023.0,Q1,0.0,False,True,2.0,False
Sweden_31,decision,,,,,,,2021.0,Q1,0.0,False,True,3.0,False
Sweden_33,decision,,,,,,,2023.0,Q2,0.0,False,False,1.0,False
Sweden_29,decision,,,,,,,,,0.0,False,True,6.0,False
Sweden_32,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_36,decision,,,,,,,2023.0,Q2,300000.0,False,True,1.0,False
Sweden_34,decision,,,,,,,2023.0,Q2,0.0,False,True,1.0,False
Sweden_35,decision,,,,,,,2023.0,Q2,12000000.0,False,True,2.0,False
Sweden_37,decision,,,,,,,2023.0,Q3,35000000.0,True,True,1.0,False
Sweden_38,decision,,,,,,,2022.0,Q4,0.0,False,True,1.0,False
Sweden_40,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_41,decision,,,,,,,2022.0,Q1,0.0,False,True,1.0,False
Sweden_39,decision,,,,,,,,,500000.0,False,False,0.0,False
Sweden_44,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_42,decision,,,,,,,,,15000000.0,False,False,1.0,False
Sweden_43,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_45,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_47,decision,,,,,,,2022.0,Q1,0.0,False,True,0.0,False
Sweden_48,decision,,,,,,,2022.0,Q3,0.0,False,True,1.0,False
Sweden_49,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_50,decision,,,,,,,,,0.0,False,False,0.0,False
Spain_1,decision,,,,,,,,,0.0,False,False,0.0,False
Sweden_54,decision,,,,,,,,,0.0,False,False,0.0,False
